prefill_chunk_size,kv_cache_size,batch_size,is_prefill,mean_ns,p50_ns,p90_ns,max_ns
0,160,24,False,301416,300440,320800,330040
0,160,25,False,297910,298740,317350,328020
0,160,26,False,297035,296570,315210,319240
0,160,27,False,300942,299040,322150,332190
0,160,28,False,300400,296550,319700,334000
0,160,29,False,298712,300110,317240,318540
0,160,30,False,298697,295330,318930,337740
0,160,31,False,303266,304180,322610,322850
0,160,32,False,299056,298690,315840,330950
0,192,1,False,296918,298950,312590,319150
0,192,2,False,298690,294600,323620,342050
0,192,3,False,299729,300760,317900,322360
0,192,4,False,300323,301160,316330,329090
0,192,5,False,300534,294470,329250,333130
0,192,6,False,299198,299870,316700,325800
0,192,7,False,299553,297700,323700,327590
0,192,8,False,298795,299230,319570,323210
0,192,9,False,301908,294070,321410,467700
0,192,10,False,298286,294000,317080,336590
0,192,11,False,303606,296080,330800,341090
0,192,12,False,298944,295450,318480,334700
0,192,13,False,298643,296230,316700,342620
0,192,14,False,297677,298640,317720,323320
0,192,15,False,297478,293080,319970,330130
0,192,16,False,300139,294800,321330,333740
0,192,17,False,297019,298450,313460,316790
0,192,18,False,297027,290940,320530,342450
0,192,19,False,296578,295390,312010,332070
0,192,20,False,295449,299280,313870,316660
0,192,21,False,299293,302120,314980,316370
0,192,22,False,299510,295910,321060,327190
0,192,23,False,297644,300310,311820,322030
0,192,24,False,299515,295560,326400,332630
0,192,25,False,299015,293970,318120,348220
0,192,26,False,298205,293940,319520,325500
0,192,27,False,298000,298080,317890,327960
0,192,28,False,297445,298490,313990,324260
0,192,29,False,296972,297310,321330,341670
0,192,30,False,296065,292040,312630,331790
0,192,31,False,302106,296280,327760,359840
0,192,32,False,298472,300840,310430,322370
0,224,1,False,297937,299440,314510,323350
0,224,2,False,294195,294970,308790,317340
0,224,3,False,298072,296850,316570,324920
0,224,4,False,298852,299960,314880,316700
0,224,5,False,298146,301300,314270,324420
0,224,6,False,299407,297740,321720,323580
0,224,7,False,298120,294890,321770,333600
0,224,8,False,295525,294200,313790,330840
0,224,9,False,294625,296470,312140,319840
0,224,10,False,295958,299340,311120,315680
