prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
32,128,1,4096,78.4103
32,128,1,8192,135.296
32,128,2,16,17.8023
32,128,2,32,18.0373
32,128,2,64,18.304
32,128,2,128,18.6983
32,128,2,256,28.9277
32,128,2,512,44.3307
32,128,2,1024,59.4127
32,128,2,2048,89.0873
32,128,2,4096,150.389
32,128,2,8192,277.567
32,128,4,16,23.637
32,128,4,32,23.8933
32,128,4,64,24.2347
32,128,4,128,25.1303
32,128,4,256,40.8747
32,128,4,512,60.0747
32,128,4,1024,83.157
32,128,4,2048,128.981
32,128,4,4096,231.946
32,128,4,8192,430.942
32,128,8,16,35.3063
32,128,8,32,35.36
32,128,8,64,36.2767
32,128,8,128,38.2183
32,128,8,256,64.256
32,128,8,512,91.083
32,128,8,1024,130.581
32,128,8,2048,225.204
32,128,8,4096,402.74
32,128,8,8192,769.458
32,128,16,16,63.0827
32,128,16,32,63.0077
32,128,16,64,64.576
32,128,16,128,67.328
32,128,16,256,113.845
32,128,16,512,156.917
32,128,16,1024,245.589
32,128,16,2048,415.807
32,128,16,4096,736.53
32,128,16,8192,2096.49
32,128,32,16,112.618
32,128,32,32,113.226
32,128,32,64,115.082
32,128,32,128,120.608
32,128,32,256,221.226
32,128,32,512,344.202
32,128,32,1024,560.211
32,128,32,2048,977.874
32,128,32,4096,1926.76
32,128,32,8192,6131.98
32,256,0,0,18.8903
32,256,1,16,22.5383
32,256,1,32,22.5603
32,256,1,64,22.709
32,256,1,128,22.9967
32,256,1,256,30.7413
32,256,1,512,35.5413
32,256,1,1024,42.3467
32,256,1,2048,55.52
32,256,1,4096,82.0693
32,256,1,8192,135.573
32,256,2,16,22.5393
32,256,2,32,22.677
32,256,2,64,22.795
32,256,2,128,22.9763
32,256,2,256,31.84
32,256,2,512,44.2453
32,256,2,1024,59.6903
32,256,2,2048,87.6047
